representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,original_macro_f1,original_balanced_accuracy,original_uar,original_weighted_f1,original_accuracy,inner_best_balanced_accuracy,pca_n_components,pca_explained_variance,lda_n_components
wav2vec,speaker_independent,emotion_original_eval_quadrant,random_forest,none,0,768,768,960,240,0.743145199958235,0.5426547188566606,0.5794270833333334,0.5794270833333334,0.6041541222621583,0.625,0.4436659065871835,0.4609375,0.4609375,0.4505485982320028,0.4583333333333333,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,random_forest,none,1,768,768,960,240,0.7212098999880254,0.5041062801932368,0.5208333333333333,0.5208333333333333,0.5444122383252818,0.5458333333333333,0.3892543551534934,0.38671875,0.38671875,0.3895636198560339,0.3916666666666666,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,random_forest,none,2,768,768,960,240,0.7279532999964431,0.5525463821892393,0.5442708333333334,0.5442708333333334,0.5901150278293135,0.6041666666666666,0.4577128243306008,0.484375,0.484375,0.4660047903970853,0.5,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,random_forest,none,3,768,768,960,240,0.7249051999533549,0.5547104398639416,0.55859375,0.55859375,0.6043841032648196,0.625,0.4548344914924322,0.46875,0.46875,0.4604654329005697,0.4791666666666667,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,random_forest,none,4,768,768,960,240,0.7031653999583796,0.5868360000852576,0.6041666666666666,0.6041666666666666,0.6338366834470052,0.6583333333333333,0.4378685279438047,0.46484375,0.46484375,0.4554655602415076,0.4875,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,0,768,768,960,240,0.1964140000054612,0.6727088398327337,0.6861979166666666,0.6861979166666666,0.7279546176537328,0.7333333333333333,0.5786043144654414,0.5859375,0.5859375,0.5932463114981803,0.5958333333333333,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,1,768,768,960,240,0.2014836999587714,0.5558174587743395,0.58203125,0.58203125,0.5919087194162349,0.5708333333333333,0.4707743877986263,0.4765625,0.4765625,0.4629436607106916,0.4666666666666667,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,2,768,768,960,240,0.2060322000179439,0.6850261576114698,0.6744791666666667,0.6744791666666667,0.7147437422437634,0.7166666666666667,0.5952266695576012,0.6015625,0.6015625,0.6027245394821308,0.6125,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,3,768,768,960,240,0.2127997999778017,0.5335213626549505,0.5260416666666667,0.5260416666666667,0.6009552254770274,0.6208333333333333,0.5148952344127005,0.51953125,0.51953125,0.5262330776264207,0.5333333333333333,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,4,768,768,960,240,0.2205096000107005,0.665954415954416,0.6770833333333334,0.6770833333333334,0.7141500474833808,0.725,0.591474536700699,0.60546875,0.60546875,0.5984737400483132,0.6083333333333333,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,mlp,none,0,768,768,960,240,1.451936800032854,0.6383100138130013,0.64453125,0.64453125,0.6837755622781839,0.6833333333333333,0.5413005429506247,0.54296875,0.54296875,0.5519904204171743,0.5458333333333333,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,mlp,none,1,768,768,960,240,1.7974998001009226,0.583537196022894,0.5989583333333333,0.5989583333333333,0.6135671981209738,0.6,0.4722142613038796,0.47265625,0.47265625,0.4732190215812811,0.4708333333333333,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,mlp,none,2,768,768,960,240,2.117634500027634,0.6218588876139359,0.62109375,0.62109375,0.6421507056998889,0.6458333333333334,0.5434332706415528,0.546875,0.546875,0.5450942541164217,0.5541666666666667,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,mlp,none,3,768,768,960,240,0.9564459000248462,0.5665650346175419,0.5598958333333333,0.5598958333333333,0.6305372212780387,0.6375,0.5201763672010987,0.5234375,0.5234375,0.5374634873333459,0.5458333333333333,,,,
wav2vec,speaker_independent,emotion_original_eval_quadrant,mlp,none,4,768,768,960,240,1.2034027999034151,0.5942758089368259,0.6171875,0.6171875,0.6529470980996405,0.6791666666666667,0.5045933120153653,0.52734375,0.52734375,0.5160106439275007,0.5416666666666666,,,,
