representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,seed,result_type,trainable_params,best_epoch,seed_macro_f1_std,layer_strategy,pooling
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,2,9984,1536,,,61.7281815999886,0.6902415712674123,0.6953125,0.6953125,0.6986508384117355,0.6958333333333333,13,seed,64662.0,7.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,2,9984,1536,,,187.68435379990842,0.6783877678224705,0.68359375,0.68359375,0.6860067814037976,0.6833333333333333,42,seed,64662.0,21.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,2,9984,1536,,,70.39081410004292,0.6681657969401221,0.67578125,0.67578125,0.6787232552982218,0.6666666666666666,73,seed,64662.0,8.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,2,9984,1536,,,,0.7355715211045273,0.73828125,0.73828125,0.7425043593536012,0.7375,-1,ensemble,64662.0,,0.00902060084830725,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,3,9984,1536,,,147.40277200005949,0.5443249649508421,0.56640625,0.56640625,0.5592799626142316,0.5875,13,seed,64662.0,17.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,3,9984,1536,,,139.81274069997016,0.6325504286963691,0.64453125,0.64453125,0.6274086293191379,0.6416666666666667,42,seed,64662.0,16.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,3,9984,1536,,,69.8286549000768,0.651641766881465,0.65234375,0.65234375,0.6617512180068961,0.6625,73,seed,64662.0,8.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,3,9984,1536,,,,0.6919025415894744,0.6953125,0.6953125,0.6920523662011865,0.7,-1,ensemble,64662.0,,0.04674411148111188,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,4,9984,1536,,,167.40591729991138,0.7589731691734591,0.76953125,0.76953125,0.7651269360072454,0.7625,13,seed,64662.0,19.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,4,9984,1536,,,70.26039870001841,0.5853267130784956,0.6015625,0.6015625,0.5910151606170619,0.6041666666666666,42,seed,64662.0,8.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,4,9984,1536,,,70.2572556999512,0.7378191420437523,0.7421875,0.7421875,0.7425626404022247,0.7458333333333333,73,seed,64662.0,8.0,,learned,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,learned_layers_attention_statistics,4,9984,1536,,,,0.7918160227328572,0.80078125,0.80078125,0.7964556094335662,0.8,-1,ensemble,64662.0,,0.07735525944186797,learned,attentive_mean_std
