protocol,target,pooling,fold,seed,layer,weight
speaker_independent,emotion_quadrant,mean,3,42,12,0.07324341684579849
speaker_independent,emotion_quadrant,mean,3,73,0,0.07606575638055801
speaker_independent,emotion_quadrant,mean,3,73,1,0.07727031409740448
speaker_independent,emotion_quadrant,mean,3,73,2,0.08687245100736618
speaker_independent,emotion_quadrant,mean,3,73,3,0.07538427412509918
speaker_independent,emotion_quadrant,mean,3,73,4,0.0853867381811142
speaker_independent,emotion_quadrant,mean,3,73,5,0.08180003613233566
speaker_independent,emotion_quadrant,mean,3,73,6,0.0781359001994133
speaker_independent,emotion_quadrant,mean,3,73,7,0.08464279770851135
speaker_independent,emotion_quadrant,mean,3,73,8,0.07860783487558365
speaker_independent,emotion_quadrant,mean,3,73,9,0.06990870833396912
speaker_independent,emotion_quadrant,mean,3,73,10,0.06904197484254837
speaker_independent,emotion_quadrant,mean,3,73,11,0.06706096976995468
speaker_independent,emotion_quadrant,mean,3,73,12,0.06982240825891495
speaker_independent,emotion_quadrant,mean,4,13,0,0.07727587968111038
speaker_independent,emotion_quadrant,mean,4,13,1,0.07687685638666153
speaker_independent,emotion_quadrant,mean,4,13,2,0.0758545994758606
speaker_independent,emotion_quadrant,mean,4,13,3,0.07377465814352036
speaker_independent,emotion_quadrant,mean,4,13,4,0.08098205924034119
speaker_independent,emotion_quadrant,mean,4,13,5,0.08334987610578537
speaker_independent,emotion_quadrant,mean,4,13,6,0.0862882062792778
speaker_independent,emotion_quadrant,mean,4,13,7,0.08203835040330887
speaker_independent,emotion_quadrant,mean,4,13,8,0.08584020286798477
speaker_independent,emotion_quadrant,mean,4,13,9,0.07643016427755356
speaker_independent,emotion_quadrant,mean,4,13,10,0.06587255746126175
speaker_independent,emotion_quadrant,mean,4,13,11,0.06742319464683533
speaker_independent,emotion_quadrant,mean,4,13,12,0.0679933950304985
speaker_independent,emotion_quadrant,mean,4,42,0,0.06763797998428345
speaker_independent,emotion_quadrant,mean,4,42,1,0.07586772739887238
speaker_independent,emotion_quadrant,mean,4,42,2,0.08238930255174637
speaker_independent,emotion_quadrant,mean,4,42,3,0.07918030768632889
speaker_independent,emotion_quadrant,mean,4,42,4,0.08485166728496552
speaker_independent,emotion_quadrant,mean,4,42,5,0.08138403296470642
speaker_independent,emotion_quadrant,mean,4,42,6,0.07825372368097305
speaker_independent,emotion_quadrant,mean,4,42,7,0.07422802597284317
speaker_independent,emotion_quadrant,mean,4,42,8,0.085690438747406
speaker_independent,emotion_quadrant,mean,4,42,9,0.07478153705596924
speaker_independent,emotion_quadrant,mean,4,42,10,0.06716448813676834
speaker_independent,emotion_quadrant,mean,4,42,11,0.07201305776834488
speaker_independent,emotion_quadrant,mean,4,42,12,0.07655777782201767
speaker_independent,emotion_quadrant,mean,4,73,0,0.07882557064294815
speaker_independent,emotion_quadrant,mean,4,73,1,0.07624717801809311
speaker_independent,emotion_quadrant,mean,4,73,2,0.07589146494865417
speaker_independent,emotion_quadrant,mean,4,73,3,0.0817682072520256
speaker_independent,emotion_quadrant,mean,4,73,4,0.08455852419137955
speaker_independent,emotion_quadrant,mean,4,73,5,0.07999084144830704
speaker_independent,emotion_quadrant,mean,4,73,6,0.07935154438018799
speaker_independent,emotion_quadrant,mean,4,73,7,0.08050656318664551
speaker_independent,emotion_quadrant,mean,4,73,8,0.07620831578969955
speaker_independent,emotion_quadrant,mean,4,73,9,0.07275233417749405
speaker_independent,emotion_quadrant,mean,4,73,10,0.07205776870250702
speaker_independent,emotion_quadrant,mean,4,73,11,0.07315643876791
speaker_independent,emotion_quadrant,mean,4,73,12,0.06868530064821243
speaker_independent,emotion_original_eval_quadrant,mean,0,13,0,0.0741783007979393
speaker_independent,emotion_original_eval_quadrant,mean,0,13,1,0.07361720502376556
speaker_independent,emotion_original_eval_quadrant,mean,0,13,2,0.07397646456956863
speaker_independent,emotion_original_eval_quadrant,mean,0,13,3,0.07790730148553848
speaker_independent,emotion_original_eval_quadrant,mean,0,13,4,0.07792128622531891
speaker_independent,emotion_original_eval_quadrant,mean,0,13,5,0.08098706603050232
speaker_independent,emotion_original_eval_quadrant,mean,0,13,6,0.08066239207983017
speaker_independent,emotion_original_eval_quadrant,mean,0,13,7,0.08068610727787018
speaker_independent,emotion_original_eval_quadrant,mean,0,13,8,0.08031187206506729
speaker_independent,emotion_original_eval_quadrant,mean,0,13,9,0.0737292617559433
speaker_independent,emotion_original_eval_quadrant,mean,0,13,10,0.07406482100486755
speaker_independent,emotion_original_eval_quadrant,mean,0,13,11,0.07591065764427185
speaker_independent,emotion_original_eval_quadrant,mean,0,13,12,0.07604727894067764
speaker_independent,emotion_original_eval_quadrant,mean,0,42,0,0.07229156047105789
speaker_independent,emotion_original_eval_quadrant,mean,0,42,1,0.07797835022211075
speaker_independent,emotion_original_eval_quadrant,mean,0,42,2,0.07341396063566208
speaker_independent,emotion_original_eval_quadrant,mean,0,42,3,0.08174750208854675
speaker_independent,emotion_original_eval_quadrant,mean,0,42,4,0.08256275206804276
speaker_independent,emotion_original_eval_quadrant,mean,0,42,5,0.08241448551416397
speaker_independent,emotion_original_eval_quadrant,mean,0,42,6,0.07657226175069809
speaker_independent,emotion_original_eval_quadrant,mean,0,42,7,0.08181161433458328
speaker_independent,emotion_original_eval_quadrant,mean,0,42,8,0.07320179045200348
speaker_independent,emotion_original_eval_quadrant,mean,0,42,9,0.07270554453134537
speaker_independent,emotion_original_eval_quadrant,mean,0,42,10,0.07564204931259155
speaker_independent,emotion_original_eval_quadrant,mean,0,42,11,0.07453581690788269
speaker_independent,emotion_original_eval_quadrant,mean,0,42,12,0.07512234151363373
speaker_independent,emotion_original_eval_quadrant,mean,0,73,0,0.07679646462202072
speaker_independent,emotion_original_eval_quadrant,mean,0,73,1,0.07354126870632172
speaker_independent,emotion_original_eval_quadrant,mean,0,73,2,0.0750671923160553
speaker_independent,emotion_original_eval_quadrant,mean,0,73,3,0.07748675346374512
speaker_independent,emotion_original_eval_quadrant,mean,0,73,4,0.07867485284805298
